id,value,Xu_20161226_MetaproE_1_2
cellular organisms,115.03,115.03
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Bacteroidaceae@Bacteroides@Bacteroides cellulosilyticus,73.41,73.41
cellular organisms@Bacteria,115.02,115.02
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Myxococcales@Myxococcaceae@Corallococcus,83.17,83.17
cellular organisms@Eukaryota@Metazoa@Chordata@Mammalia@Rodentia,74.19,74.19
cellular organisms@Eukaryota@Metazoa@Chordata@Mammalia@Rodentia@Cricetidae,74.19,74.19
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Bifidobacteriales,85.28,85.28
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Oscillospiraceae@Oscillibacter,75.39,75.39
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Streptomycetales@Streptomycetaceae,84.79,84.79
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Porphyromonadaceae@Porphyromonas@Porphyromonas gingivicanis,83.98,83.98
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Faecalibacterium,94.75,94.75
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Coprococcus,84.78,84.78
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Streptomycetales,84.79,84.79
cellular organisms@Bacteria@Firmicutes@Erysipelotrichia@Erysipelotrichales@Erysipelotrichaceae@Coprobacillus,78.47,78.47
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Blautia@Blautia sp. YL58,0,0
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Streptococcaceae,87.79,87.79
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Streptococcaceae@Streptococcus,87.14,87.14
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Rikenellaceae,91.3,91.3
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Subdoligranulum,83.26,83.26
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Myxococcales,84.45,84.45
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Porphyromonadaceae,87.63,87.63
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales,108.81,108.81
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Myxococcales@Myxococcaceae,83.17,83.17
cellular organisms@Eukaryota@Metazoa@Chordata,74.19,74.19
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Prevotellaceae,92.04,92.04
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Odoribacteraceae@Odoribacter,79.55,79.55
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae@Youngiibacter@Youngiibacter fragilis,83.46,83.46
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae@Youngiibacter,83.46,83.46
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae@Hungatella,76.48,76.48
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Bacteroidaceae,107.21,107.21
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Bacteroidaceae@Bacteroides,107.21,107.21
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria,86.53,86.53
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Odoribacteraceae,79.55,79.55
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Bacteroidaceae@Bacteroides@Bacteroides uniformis,74.65,74.65
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Bacteroidaceae@Bacteroides@Bacteroides vulgatus,93.21,93.21
cellular organisms@Bacteria@Firmicutes@Erysipelotrichia@Erysipelotrichales@Erysipelotrichaceae,81.16,81.16
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Porphyromonadaceae@Macellibacteroides@Macellibacteroides sp. HH-ZS,74.65,74.65
cellular organisms@Bacteria@Firmicutes@Bacilli@Bacillales@Bacillaceae@Bacillus@Bacillus sp. FJAT-26390,72.93,72.93
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria,87.82,87.82
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Eubacteriaceae@Eubacterium@[Eubacterium] eligens,87.09,87.09
cellular organisms@Bacteria@Verrucomicrobia@Verrucomicrobiae@Verrucomicrobiales@Akkermansiaceae@Akkermansia,77.34,77.34
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Butyrivibrio,76.94,76.94
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Butyrivibrio@Butyrivibrio fibrisolvens,76.94,76.94
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae,97.47,97.47
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Subdoligranulum@Subdoligranulum variabile,83.26,83.26
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Dorea@Dorea sp. 5-2,83.71,83.71
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Porphyromonadaceae@Porphyromonas,83.98,83.98
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Streptococcaceae@Streptococcus@Streptococcus uberis,87.14,87.14
cellular organisms@Bacteria@Firmicutes@Erysipelotrichia@Erysipelotrichales@Erysipelotrichaceae@Turicibacter,77.79,77.79
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Prevotellaceae@Prevotella,92.04,92.04
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Ruminococcus@Ruminococcus callidus,77.99,77.99
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Eubacteriaceae@Eubacterium@Eubacterium ventriosum,74.16,74.16
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Roseburia,98.04,98.04
cellular organisms@Bacteria@Verrucomicrobia@Verrucomicrobiae@Verrucomicrobiales,77.34,77.34
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhodospirillales@Rhodospirillaceae,78.52,78.52
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Roseburia@Roseburia intestinalis,95.64,95.64
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Faecalibacterium@Faecalibacterium prausnitzii,94.41,94.41
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Blautia,74.61,74.61
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Streptomycetales@Streptomycetaceae@Streptomyces,84.79,84.79
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Roseburia@Roseburia inulinivorans,74.76,74.76
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhizobiales,83.2,83.2
cellular organisms@Bacteria@Firmicutes@Bacilli@Bacillales,80.11,80.11
cellular organisms@Bacteria@Firmicutes@Bacilli@Bacillales@Bacillaceae@Bacillus,80.11,80.11
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Myxococcales@Anaeromyxobacteraceae@Anaeromyxobacter@Anaeromyxobacter sp. (strain Fw109-5),78.54,78.54
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Rikenellaceae@Alistipes@Alistipes shahii,79.95,79.95
cellular organisms@Bacteria@Verrucomicrobia@Verrucomicrobiae@Verrucomicrobiales@Akkermansiaceae,77.34,77.34
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Desulfovibrionales@Desulfovibrionaceae,85.14,85.14
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Dorea@Dorea longicatena,77.6,77.6
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Desulfovibrionales,85.14,85.14
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Bacteroidaceae@Bacteroides@Bacteroides intestinalis,77.85,77.85
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhizobiales@Rhizobiaceae@Sinorhizobium@Rhizobium meliloti,77.51,77.51
cellular organisms@Bacteria@Firmicutes@Bacilli@Bacillales@Bacillaceae@Bacillus@Bacillus sp. FJAT-25509,79.19,79.19
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Porphyromonadaceae@Macellibacteroides,74.65,74.65
cellular organisms@Bacteria@Bacteroidetes@Flavobacteriia@Flavobacteriales@Flavobacteriaceae,74.74,74.74
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Rikenellaceae@Alistipes,91.3,91.3
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Bifidobacteriales@Bifidobacteriaceae@Bifidobacterium,76.39,76.39
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Dorea,84.66,84.66
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Streptomycetales@Streptomycetaceae@Streptomyces@Streptomyces viridochromogenes,84.79,84.79
cellular organisms@Eukaryota@Metazoa@Chordata@Mammalia@Rodentia@Cricetidae@Neotoma@Neotoma lepida,74.19,74.19
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhodospirillales,78.52,78.52
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Anaerotruncus,75.62,75.62
cellular organisms@Eukaryota@Metazoa@Cnidaria@Hydrozoa@Anthoathecata,89.46,89.46
cellular organisms@Bacteria@Deferribacteres@Deferribacteres@Deferribacterales@Deferribacteraceae,78.77,78.77
cellular organisms@Bacteria@Deferribacteres@Deferribacteres@Deferribacterales,78.77,78.77
cellular organisms@Eukaryota@Metazoa@Chordata@Mammalia@Rodentia@Cricetidae@Neotoma,74.19,74.19
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Oribacterium@Oribacterium sp. oral taxon 078,78.17,78.17
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales,105.51,105.51
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae,99.35,99.35
cellular organisms@Bacteria@Firmicutes@Clostridia,105.54,105.54
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Eubacteriaceae,88.85,88.85
cellular organisms@Bacteria@Firmicutes@Bacilli,88.47,88.47
cellular organisms@Bacteria@Firmicutes@Erysipelotrichia,81.16,81.16
cellular organisms@Bacteria@Firmicutes@Erysipelotrichia@Erysipelotrichales,81.16,81.16
cellular organisms@Eukaryota@Metazoa,89.58,89.58
cellular organisms@Eukaryota@Metazoa@Cnidaria,89.46,89.46
cellular organisms@Eukaryota@Metazoa@Cnidaria@Hydrozoa,89.46,89.46
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Leuconostocaceae,0,0
cellular organisms@Bacteria@Firmicutes@Clostridia@Thermoanaerobacterales@Thermoanaerobacteraceae,74.29,74.29
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae@Hungatella@Hungatella hathewayi,76.48,76.48
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhodospirillales@Rhodospirillaceae@Azospirillum,78.52,78.52
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia,108.81,108.81
cellular organisms@Eukaryota@Metazoa@Cnidaria@Hydrozoa@Anthoathecata@Hydridae,89.46,89.46
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Eubacteriaceae@Eubacterium,88.85,88.85
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhizobiales@Rhizobiaceae,77.51,77.51
cellular organisms@Bacteria@Firmicutes@Bacilli@Bacillales@Bacillaceae,80.11,80.11
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Porphyromonadaceae@Parabacteroides@Parabacteroides sp. YL27,78.2,78.2
cellular organisms@Eukaryota@Metazoa@Cnidaria@Hydrozoa@Anthoathecata@Hydridae@Hydra,89.46,89.46
cellular organisms@Bacteria@Firmicutes@Clostridia@Thermoanaerobacterales,74.29,74.29
cellular organisms@Eukaryota,89.58,89.58
cellular organisms@Eukaryota@Metazoa@Cnidaria@Hydrozoa@Anthoathecata@Hydridae@Hydra@Hydra vulgaris,89.46,89.46
cellular organisms@Bacteria@Bacteroidetes@Flavobacteriia@Flavobacteriales,74.74,74.74
cellular organisms@Bacteria@Proteobacteria,93.48,93.48
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales,87.79,87.79
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhizobiales@Rhizobiaceae@Sinorhizobium,77.51,77.51
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae@Clostridium,80.59,80.59
cellular organisms@Bacteria@Bacteroidetes,109.1,109.1
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Bifidobacteriales@Bifidobacteriaceae,85.28,85.28
cellular organisms@Bacteria@Actinobacteria,88.06,88.06
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Rikenellaceae@Alistipes@Alistipes putredinis,82.71,82.71
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Myxococcales@Anaeromyxobacteraceae@Anaeromyxobacter,78.54,78.54
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Odoribacteraceae@Odoribacter@Odoribacter splanchnicus,70.06,70.06
cellular organisms@Bacteria@Firmicutes,108.17,108.17
cellular organisms@Bacteria@Verrucomicrobia,77.34,77.34
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Johnsonella,76.09,76.09
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Johnsonella@Johnsonella ignava,76.09,76.09
cellular organisms@Bacteria@Actinobacteria@Actinobacteria,88.06,88.06
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Myxococcales@Anaeromyxobacteraceae,78.54,78.54
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Prevotellaceae@Prevotella@Prevotella corporis,77.39,77.39
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Bacteroidaceae@Bacteroides@Bacteroides salanitronis,0,0
cellular organisms@Bacteria@Deferribacteres,78.77,78.77
cellular organisms@Eukaryota@Metazoa@Chordata@Mammalia,74.19,74.19
cellular organisms@Bacteria@Firmicutes@Clostridia@Thermoanaerobacterales@Thermoanaerobacteraceae@Moorella,74.29,74.29
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Eubacteriaceae@Eubacterium@Eubacterium plexicaudatum,74.73,74.73
cellular organisms@Bacteria@Verrucomicrobia@Verrucomicrobiae,77.34,77.34
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Bacteroidaceae@Bacteroides@Bacteroides massiliensis,90.56,90.56
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae,86.24,86.24
cellular organisms@Bacteria@Bacteroidetes@Flavobacteriia@Flavobacteriales@Flavobacteriaceae@Flavobacterium,74.74,74.74
cellular organisms@Bacteria@Bacteroidetes@Flavobacteriia,74.74,74.74
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Ruminococcus,82.73,82.73
cellular organisms@Bacteria@Deferribacteres@Deferribacteres,78.77,78.77
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Roseburia@Roseburia hominis,71.09,71.09
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Ruminococcus@Ruminococcus flavefaciens,76.8,76.8
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Oribacterium,78.17,78.17
cellular organisms@Bacteria@Firmicutes@Clostridia@Thermoanaerobacterales@Thermoanaerobacteraceae@Moorella@Moorella thermoacetica,74.29,74.29
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Desulfovibrionales@Desulfovibrionaceae@Bilophila,84.98,84.98
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae@Butyricicoccus,76.02,76.02
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Odoribacteraceae@Odoribacter@Odoribacter laneus,77.38,77.38
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Porphyromonadaceae@Parabacteroides,82.94,82.94
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Oscillospiraceae,75.39,75.39
